@relation 'dataset_pangoa_nosupervisado'

@attribute tipo_contribuyente {'Persona juridica','Persona natural'}
@attribute monto_impuesto numeric
@attribute monto_pagado numeric
@attribute deuda_acumulada numeric
@attribute anios_moroso numeric
@attribute frecuencia_pago {'Con retraso','Nunca paga'}
@attribute meses_retraso_promedio numeric
@attribute num_notificaciones numeric
@attribute respondio_notificacion {Si,No}
@attribute fraccionamiento {No,Si}

@data
'Persona juridica',6407.56,0,1637.36,1,'Nunca paga',0,0,No,No
'Persona juridica',6285.2,0,1606.28,1,'Nunca paga',0,0,No,No
'Persona natural',5975.6,1503.9,0,0,'Con retraso',0,1,Si,No
'Persona natural',5832.07,0,1491.2,1,'Nunca paga',0,0,No,No
'Persona natural',5809.94,0,1485.58,1,'Nunca paga',23.1,1,No,No
'Persona natural',5773.76,0,1476.39,1,'Nunca paga',23,1,No,No
'Persona natural',5658.99,0,1447.24,1,'Nunca paga',22.5,1,No,No
'Persona natural',5530.6,0,1414.63,1,'Nunca paga',0,0,No,No
'Persona natural',5259.19,1324.8,0,0,'Con retraso',0,1,Si,No
'Persona natural',5243.64,0,1341.75,1,'Nunca paga',20.8,1,No,No
'Persona natural',5154.7,1298.68,0,0,'Con retraso',0,1,Si,No
'Persona natural',5097.16,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',5053.43,0,1293.45,1,'Nunca paga',0,1,No,No
'Persona natural',5012.12,0,1282.95,1,'Nunca paga',0,1,No,No
'Persona natural',5007.24,0,1281.71,1,'Nunca paga',0,0,No,No
'Persona juridica',5000.34,0,1279.97,1,'Nunca paga',0,0,No,No
'Persona natural',4924.4,0,1260.67,1,'Nunca paga',19.6,1,No,No
'Persona natural',4803.73,1210.94,0,0,'Con retraso',0,1,Si,No
'Persona natural',4713.27,0,1207.06,1,'Nunca paga',0,1,No,No
'Persona natural',4684.04,0,1199.63,1,'Nunca paga',0,1,No,No
'Persona natural',4667.49,1176.88,0,0,'Con retraso',0,1,Si,No
'Persona natural',4638,0,1187.94,1,'Nunca paga',0,0,No,No
'Persona natural',4551.41,0,1165.95,1,'Nunca paga',18.1,1,No,No
'Persona natural',4518.26,1139.57,0,0,'Con retraso',0,1,Si,No
'Persona natural',4503.7,0,0,0,'Nunca paga',0,0,No,No
'Persona juridica',4488.48,1132.12,0,0,'Con retraso',0,0,Si,No
'Persona natural',4466.72,0,1144.44,1,'Nunca paga',0,0,No,No
'Persona natural',4317.98,1089.5,0,0,'Con retraso',0,1,Si,No
'Persona natural',4306.38,0,1103.72,1,'Nunca paga',0,1,No,No
'Persona natural',4286.63,0,1098.7,1,'Nunca paga',17,1,No,No
'Persona juridica',4224.16,1082.64,0,0,'Con retraso',0,0,Si,No
'Persona natural',4195.52,0,1075.56,1,'Nunca paga',16.7,1,No,No
'Persona natural',4188.33,1098.5,0,0,'Con retraso',0,1,Si,No
'Persona natural',4097.46,0,1050.66,1,'Nunca paga',0,1,No,No
'Persona juridica',4058.37,0,1040.73,1,'Nunca paga',0,0,No,No
'Persona natural',4029.13,1017.29,0,0,'Con retraso',0,1,Si,No
'Persona natural',4021.65,1015.42,0,0,'Con retraso',0,1,Si,No
'Persona natural',4005.43,1023.38,0,0,'Con retraso',0,1,Si,No
'Persona natural',3982.95,0,1021.57,1,'Nunca paga',15.8,1,No,No
'Persona juridica',3939.12,0,1010.44,1,'Nunca paga',0,0,No,No
'Persona natural',3903.53,0,1001.41,1,'Nunca paga',15.5,1,No,No
'Persona natural',3903.26,0,1001.34,1,'Nunca paga',15.5,1,No,No
'Persona juridica',3859.34,0,990.18,1,'Nunca paga',0,0,No,No
'Persona natural',3855.41,973.86,0,0,'Con retraso',0,1,Si,No
'Persona juridica',3827.38,0,982.06,1,'Nunca paga',0,0,No,No
'Persona natural',3780.82,0,970.24,1,'Nunca paga',15,1,No,No
'Persona natural',3743.61,0,960.79,1,'Nunca paga',14.9,1,No,No
'Persona natural',3659.97,925,0,0,'Con retraso',0,1,Si,No
'Persona natural',3642.28,0,935.05,1,'Nunca paga',14.5,1,No,No
'Persona juridica',3617.14,914.29,0,0,'Con retraso',0,0,Si,No
'Persona natural',3592.21,0,922.34,1,'Nunca paga',14.3,1,No,No
'Persona natural',3556.74,0,913.33,1,'Nunca paga',14.1,1,No,No
'Persona natural',3525.69,0,905.44,1,'Nunca paga',14,1,No,No
'Persona natural',3484.67,0,895.02,1,'Nunca paga',0,1,No,No
'Persona natural',3484.66,0,895.02,1,'Nunca paga',0,1,No,No
'Persona natural',3326.08,0,854.74,1,'Nunca paga',13.2,1,No,No
'Persona natural',3318.83,0,852.9,1,'Nunca paga',13.2,1,No,No
'Persona natural',3318.58,839.65,0,0,'Con retraso',0,1,Si,No
'Persona natural',3305.87,0,849.61,1,'Nunca paga',13.1,1,No,No
'Persona natural',3251.63,0,835.84,1,'Nunca paga',0,1,No,No
'Persona natural',3154.43,0,811.15,1,'Nunca paga',0,1,No,No
'Persona natural',3056.75,0,786.34,1,'Nunca paga',0,0,No,No
'Persona natural',3032.26,768.07,0,0,'Con retraso',0,1,Si,No
'Persona natural',3014.44,763.61,0,0,'Con retraso',0,1,Si,No
'Persona natural',2961.53,740.39,0,0,'Con retraso',0,0,Si,No
'Persona natural',2929.66,0,754.07,1,'Nunca paga',11.6,1,No,No
'Persona natural',2916.14,0,750.63,1,'Nunca paga',11.6,1,No,No
'Persona natural',2886.64,0,743.13,1,'Nunca paga',0,1,No,No
'Persona natural',2807.38,0,723.01,1,'Nunca paga',11.2,1,No,No
'Persona natural',2797.23,709.31,0,0,'Con retraso',0,1,Si,No
'Persona natural',2791.06,0,718.86,1,'Nunca paga',11.1,1,No,No
'Persona natural',2777.97,0,715.54,1,'Nunca paga',0,1,No,No
'Persona natural',2745.16,0,0,0,'Nunca paga',10.9,0,No,No
'Persona natural',2664.06,0,686.61,1,'Nunca paga',10.6,1,No,No
'Persona natural',2650.11,672.53,0,0,'Con retraso',0,1,Si,No
'Persona natural',2578.32,0,664.83,1,'Nunca paga',10.2,1,No,No
'Persona natural',2575.1,0,664.02,1,'Nunca paga',10.2,1,No,No
'Persona natural',2533.65,0,653.49,1,'Nunca paga',10.1,1,No,No
'Persona natural',2533.06,0,0,0,'Nunca paga',10.1,0,No,No
'Persona natural',2469.96,0,637.31,1,'Nunca paga',9.8,1,No,No
'Persona natural',2445.77,0,631.17,1,'Nunca paga',0,1,No,No
'Persona natural',2435.27,0,628.5,1,'Nunca paga',0,1,No,No
'Persona natural',2433.33,0,628.01,1,'Nunca paga',9.7,1,No,No
'Persona natural',2405.28,0,620.88,1,'Nunca paga',9.6,1,No,No
'Persona natural',2360.17,0,609.43,1,'Nunca paga',9.4,1,No,No
'Persona natural',2338.67,0,603.97,1,'Nunca paga',0,1,No,No
'Persona natural',2313.84,0,597.66,1,'Nunca paga',0,1,No,No
'Persona natural',2227.14,0,0,0,'Nunca paga',8.8,0,No,No
'Persona natural',2201.26,0,569.07,1,'Nunca paga',0,1,No,No
'Persona natural',2173.03,0,561.9,1,'Nunca paga',0,1,No,No
'Persona natural',2165.98,551.5,0,0,'Con retraso',0,1,Si,No
'Persona natural',2123.89,0,549.42,1,'Nunca paga',8.4,1,No,No
'Persona natural',2118.9,0,548.15,1,'Nunca paga',8.4,1,No,No
'Persona natural',2116.87,0,547.63,1,'Nunca paga',8.4,1,No,No
'Persona natural',2109.89,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',2097.5,0,542.72,1,'Nunca paga',0,1,No,No
'Persona juridica',2089.46,0,540.68,1,'Nunca paga',0,0,No,No
'Persona natural',2079.35,0,538.11,1,'Nunca paga',8.3,1,No,No
'Persona natural',2078.04,0,0,0,'Nunca paga',8.3,0,No,No
'Persona natural',2062.42,0,533.81,1,'Nunca paga',8.2,1,No,No
'Persona natural',2060.41,0,533.3,1,'Nunca paga',0,1,No,No
'Persona natural',2044.65,0,529.3,1,'Nunca paga',8.1,1,No,No
'Persona natural',2021.87,0,523.51,1,'Nunca paga',0,1,No,No
'Persona natural',2020.09,0,523.06,1,'Nunca paga',8,1,No,No
'Persona natural',2019.37,0,522.88,1,'Nunca paga',8,1,No,No
'Persona natural',2008.98,0,520.24,1,'Nunca paga',8,1,No,No
'Persona natural',2003.97,0,518.97,1,'Nunca paga',8,1,No,No
'Persona natural',1966.65,0,509.49,1,'Nunca paga',0,0,No,No
'Persona natural',1966.02,0,509.33,1,'Nunca paga',7.8,1,No,No
'Persona natural',1957.12,0,507.06,1,'Nunca paga',7.8,1,No,No
'Persona natural',1956.48,0,506.9,1,'Nunca paga',7.8,1,No,No
'Persona natural',1941.52,0,503.1,1,'Nunca paga',7.7,1,No,No
'Persona juridica',1940.57,0,502.86,1,'Nunca paga',0,0,No,No
'Persona natural',1935.64,0,501.6,1,'Nunca paga',7.7,1,No,No
'Persona natural',1918.87,0,497.35,1,'Nunca paga',7.6,1,No,No
'Persona natural',1915.25,0,496.43,1,'Nunca paga',7.6,1,No,No
'Persona natural',1906.49,0,494.21,1,'Nunca paga',0,1,No,No
'Persona natural',1892.59,483.15,0,0,'Con retraso',0,1,Si,No
'Persona natural',1878.63,0,487.13,1,'Nunca paga',7.5,1,No,No
'Persona natural',1837.57,469.4,0,0,'Con retraso',0,1,Si,No
'Persona natural',1832.59,469.66,0,0,'Con retraso',0,1,Si,No
'Persona natural',1818.48,0,471.85,1,'Nunca paga',7.2,1,No,No
'Persona juridica',1811.73,462.94,0,0,'Con retraso',0,0,Si,No
'Persona natural',1785.89,0,463.58,1,'Nunca paga',0,1,No,No
'Persona natural',1760.81,0,457.21,1,'Nunca paga',7,1,No,No
'Persona natural',1760.75,450.19,0,0,'Con retraso',0,1,Si,No
'Persona natural',1757.57,0,456.39,1,'Nunca paga',7,1,No,No
'Persona natural',1756.76,0,456.17,1,'Nunca paga',7,1,No,No
'Persona natural',1755.65,0,455.9,1,'Nunca paga',0,1,No,No
'Persona natural',1748.42,0,454.06,1,'Nunca paga',0,0,No,No
'Persona natural',1743.23,0,0,0,'Nunca paga',6.9,0,No,No
'Persona natural',1734.7,0,450.58,1,'Nunca paga',6.9,1,No,No
'Persona natural',1711.64,0,444.71,1,'Nunca paga',0,1,No,No
'Persona juridica',1696.47,0,440.86,1,'Nunca paga',0,0,No,No
'Persona natural',1684.68,0,437.87,1,'Nunca paga',6.7,1,No,No
'Persona natural',1672.13,0,434.69,1,'Nunca paga',6.6,1,No,No
'Persona natural',1671.25,0,434.46,1,'Nunca paga',6.6,1,No,No
'Persona natural',1662.55,0,432.25,1,'Nunca paga',6.6,1,No,No
'Persona natural',1652.53,0,429.71,1,'Nunca paga',0,1,No,No
'Persona natural',1647.39,0,428.4,1,'Nunca paga',6.6,1,No,No
'Persona natural',1642.6,0,427.18,1,'Nunca paga',0,1,No,No
'Persona natural',1636.27,0,425.57,1,'Nunca paga',6.5,1,No,No
'Persona natural',1635.96,0,425.49,1,'Nunca paga',0,1,No,No
'Persona natural',1630.18,0,424.03,1,'Nunca paga',0,1,No,No
'Persona natural',1623.59,0,422.35,1,'Nunca paga',6.4,1,No,No
'Persona natural',1615.49,0,0,0,'Nunca paga',6.4,0,No,No
'Persona natural',1605.66,0,417.8,1,'Nunca paga',6.4,1,No,No
'Persona natural',1596.11,0,415.37,1,'Nunca paga',6.3,1,No,No
'Persona natural',1590.93,407.74,0,0,'Con retraso',0,1,Si,No
'Persona natural',1589.3,0,413.65,1,'Nunca paga',0,1,No,No
'Persona natural',1572.51,403.13,0,0,'Con retraso',0,1,Si,No
'Persona natural',1571.34,0,409.09,1,'Nunca paga',0,1,No,No
'Persona natural',1568.75,0,408.43,1,'Nunca paga',0,1,No,No
'Persona natural',1562.34,0,406.8,1,'Nunca paga',6.2,1,No,No
'Persona natural',1546.7,0,402.83,1,'Nunca paga',6.2,1,No,No
'Persona natural',1543.6,395.9,0,0,'Con retraso',0,1,Si,No
'Persona natural',1540.01,0,401.13,1,'Nunca paga',6.1,1,No,No
'Persona natural',1538.11,0,400.64,1,'Nunca paga',6.1,1,No,No
'Persona natural',1532.17,393.05,0,0,'Con retraso',0,1,Si,No
'Persona natural',1528.4,392.1,0,0,'Con retraso',0,1,Si,No
'Persona natural',1515.84,388.96,0,0,'Con retraso',0,1,Si,No
'Persona natural',1514.95,388.74,0,0,'Con retraso',0,1,Si,No
'Persona juridica',1513.95,0,394.51,1,'Nunca paga',0,0,No,No
'Persona natural',1505.37,0,392.33,1,'Nunca paga',0,1,No,No
'Persona natural',1500.1,0,390.99,1,'Nunca paga',6,1,No,No
'Persona natural',1498.67,0,390.63,1,'Nunca paga',0,0,No,No
'Persona natural',1483.42,0,386.76,1,'Nunca paga',5.9,1,No,No
'Persona natural',1468.55,0,382.98,1,'Nunca paga',5.8,1,No,No
'Persona natural',1467.93,0,382.83,1,'Nunca paga',5.8,1,No,No
'Persona natural',1461.68,0,381.23,1,'Nunca paga',5.8,1,No,No
'Persona natural',1458.37,0,380.4,1,'Nunca paga',5.8,1,No,No
'Persona natural',1440.46,0,375.85,1,'Nunca paga',5.7,1,No,No
'Persona natural',1433.47,0,374.07,1,'Nunca paga',5.7,1,No,No
'Persona natural',1427.39,0,372.52,1,'Nunca paga',5.7,1,No,No
'Persona natural',1425.94,366.49,0,0,'Con retraso',0,1,Si,No
'Persona natural',1417.01,0,369.89,1,'Nunca paga',5.6,1,No,No
'Persona natural',1409.91,0,368.08,1,'Nunca paga',5.6,1,No,No
'Persona natural',1405.11,0,366.87,1,'Nunca paga',5.6,1,No,No
'Persona natural',1397.86,0,365.03,1,'Nunca paga',5.6,1,No,No
'Persona natural',1394.42,0,364.15,1,'Nunca paga',5.5,1,No,No
'Persona natural',1388.06,0,362.54,1,'Nunca paga',0,1,No,No
'Persona natural',1383.81,0,361.46,1,'Nunca paga',0,1,No,No
'Persona natural',1383.09,0,361.28,1,'Nunca paga',5.5,1,No,No
'Persona natural',1380.9,0,360.72,1,'Nunca paga',5.5,1,No,No
'Persona natural',1378.84,0,360.19,1,'Nunca paga',0,1,No,No
'Persona natural',1372.83,0,358.67,1,'Nunca paga',5.5,1,No,No
'Persona natural',1372.04,0,358.46,1,'Nunca paga',5.4,1,No,No
'Persona natural',1364.94,0,356.67,1,'Nunca paga',5.4,1,No,No
'Persona juridica',1356.16,0,354.43,1,'Nunca paga',0,0,No,No
'Persona juridica',1354.35,0,353.97,1,'Nunca paga',0,0,No,No
'Persona natural',1336.53,0,349.45,1,'Nunca paga',5.3,1,No,No
'Persona natural',1329.1,0,347.56,1,'Nunca paga',5.3,1,No,No
'Persona natural',1328.32,0,347.36,1,'Nunca paga',0,1,No,No
'Persona natural',1326.89,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',1325.96,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',1319.59,0,345.15,1,'Nunca paga',0,1,No,No
'Persona natural',1319.1,0,345.02,1,'Nunca paga',5.2,1,No,No
'Persona natural',1317.77,0,344.69,1,'Nunca paga',5.2,1,No,No
'Persona natural',1313.72,338.43,0,0,'Con retraso',0,1,Si,No
'Persona natural',1308.37,0,342.3,1,'Nunca paga',5.2,1,No,No
'Persona natural',1307.93,0,342.19,1,'Nunca paga',0,0,No,No
'Persona natural',1297.92,0,339.64,1,'Nunca paga',5.2,1,No,No
'Persona natural',1290.59,0,337.78,1,'Nunca paga',5.1,1,No,No
'Persona natural',1283.81,0,336.06,1,'Nunca paga',5.1,1,No,No
'Persona natural',1282.32,0,335.68,1,'Nunca paga',5.1,1,No,No
'Persona natural',1280.59,0,335.24,1,'Nunca paga',0,1,No,No
'Persona natural',1274.52,0,333.7,1,'Nunca paga',5.1,1,No,No
'Persona natural',1271.68,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',1269.48,0,332.42,1,'Nunca paga',5,1,No,No
'Persona natural',1265.72,0,331.46,1,'Nunca paga',5,1,No,No
'Persona natural',1264.59,0,331.18,1,'Nunca paga',5,1,No,No
'Persona natural',1260.27,0,330.08,1,'Nunca paga',0,1,No,No
'Persona natural',1249.05,0,327.24,1,'Nunca paga',5,1,No,No
'Persona natural',1245.12,0,326.23,1,'Nunca paga',5,1,No,No
'Persona juridica',1233.78,0,313.35,1,'Nunca paga',0,0,No,No
'Persona natural',1230.42,0,322.5,1,'Nunca paga',4.9,1,No,No
'Persona natural',1214.28,0,318.4,1,'Nunca paga',4.8,1,No,No
'Persona natural',1212.83,0,318.03,1,'Nunca paga',0,1,No,No
'Persona natural',1211.92,0,317.8,1,'Nunca paga',4.8,1,No,No
'Persona natural',1194.81,0,313.46,1,'Nunca paga',0,1,No,No
'Persona natural',1193.93,0,313.24,1,'Nunca paga',4.8,1,No,No
'Persona natural',1193.7,0,313.18,1,'Nunca paga',0,1,No,No
'Persona natural',1187.05,0,311.49,1,'Nunca paga',0,1,No,No
'Persona natural',1184.33,0,310.8,1,'Nunca paga',4.7,1,No,No
'Persona natural',1181.87,0,310.17,1,'Nunca paga',4.7,1,No,No
'Persona natural',1178.68,0,309.36,1,'Nunca paga',0,1,No,No
'Persona natural',1173.98,0,308.17,1,'Nunca paga',0,1,No,No
'Persona natural',1170.8,0,307.35,1,'Nunca paga',0,1,No,No
'Persona natural',1166.47,301.62,0,0,'Con retraso',0,1,Si,No
'Persona natural',1165.41,0,305.99,1,'Nunca paga',0,1,No,No
'Persona natural',1162.5,0,305.25,1,'Nunca paga',4.6,1,No,No
'Persona natural',1159.9,0,304.59,1,'Nunca paga',4.6,1,No,No
'Persona natural',1155.95,0,303.58,1,'Nunca paga',0,1,No,No
'Persona natural',1153.15,0,302.87,1,'Nunca paga',0,1,No,No
'Persona natural',1152.14,0,302.62,1,'Nunca paga',4.6,1,No,No
'Persona natural',1150.17,0,302.12,1,'Nunca paga',4.6,1,No,No
'Persona natural',1148.59,0,301.72,1,'Nunca paga',4.6,1,No,No
'Persona natural',1147.89,296.98,0,0,'Con retraso',0,1,Si,No
'Persona natural',1147.52,0,301.44,1,'Nunca paga',0,1,No,No
'Persona natural',1147.39,0,301.41,1,'Nunca paga',4.6,1,No,No
'Persona natural',1141.52,0,299.92,1,'Nunca paga',0,0,No,No
'Persona natural',1129.71,0,296.92,1,'Nunca paga',0,0,No,No
'Persona natural',1128.42,0,296.6,1,'Nunca paga',4.5,1,No,No
'Persona natural',1124.71,0,295.65,1,'Nunca paga',4.5,1,No,No
'Persona natural',1124.37,0,295.57,1,'Nunca paga',0,1,No,No
'Persona juridica',1119.11,0,294.23,1,'Nunca paga',0,0,No,No
'Persona natural',1114.75,0,293.12,1,'Nunca paga',4.4,1,No,No
'Persona natural',1113.52,0,292.81,1,'Nunca paga',4.4,1,No,No
'Persona natural',1106.84,0,291.11,1,'Nunca paga',4.4,1,No,No
'Persona natural',1103.61,0,290.3,1,'Nunca paga',4.4,1,No,No
'Persona natural',1102.33,0,289.97,1,'Nunca paga',4.4,1,No,No
'Persona natural',1100.87,0,289.6,1,'Nunca paga',4.4,1,No,No
'Persona natural',1099.34,0,0,0,'Nunca paga',4.4,0,No,No
'Persona natural',1094.76,0,288.04,1,'Nunca paga',0,1,No,No
'Persona natural',1092.62,0,287.5,1,'Nunca paga',4.3,1,No,No
'Persona natural',1092.36,0,287.43,1,'Nunca paga',0,1,No,No
'Persona natural',1091.58,0,0,0,'Nunca paga',4.3,0,No,No
'Persona natural',1090.4,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',1087.62,281.91,0,0,'Con retraso',0,1,Si,No
'Persona natural',1085.48,281.37,0,0,'Con retraso',0,1,Si,No
'Persona natural',1084.95,0,285.55,1,'Nunca paga',0,1,No,No
'Persona natural',1082.95,0,285.04,1,'Nunca paga',4.3,1,No,No
'Persona natural',1079.54,0,0,0,'Nunca paga',4.3,0,No,No
'Persona natural',1074.53,0,282.91,1,'Nunca paga',4.3,1,No,No
'Persona natural',1073.45,0,282.64,1,'Nunca paga',4.3,1,No,No
'Persona natural',1072.57,0,0,0,'Nunca paga',4.3,0,No,No
'Persona natural',1069.33,0,281.59,1,'Nunca paga',4.2,1,No,No
'Persona natural',1066.08,0,280.76,1,'Nunca paga',4.2,1,No,No
'Persona natural',1062.68,0,279.89,1,'Nunca paga',4.2,1,No,No
'Persona natural',1062.22,0,279.78,1,'Nunca paga',0,1,No,No
'Persona natural',1060.64,275.16,0,0,'Con retraso',0,1,Si,No
'Persona natural',1060.31,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',1055.41,273.86,0,0,'Con retraso',0,1,Si,No
'Persona natural',1051.16,0,276.97,1,'Nunca paga',0,0,No,No
'Persona natural',1050.75,0,276.87,1,'Nunca paga',4.2,1,No,No
'Persona natural',1050.37,0,276.78,1,'Nunca paga',4.2,1,No,No
'Persona natural',1046.08,0,275.68,1,'Nunca paga',4.2,1,No,No
'Persona natural',1043.14,0,274.94,1,'Nunca paga',4.2,1,No,No
'Persona natural',1037.5,0,273.5,1,'Nunca paga',0,1,No,No
'Persona natural',1034.25,268.57,0,0,'Con retraso',0,1,Si,No
'Persona natural',1034.16,268.54,0,0,'Con retraso',0,1,Si,No
'Persona natural',1033.78,268.71,0,0,'Con retraso',0,1,Si,No
'Persona natural',1033.17,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',1030.22,267.56,0,0,'Con retraso',0,1,Si,No
'Persona natural',1024.72,0,270.25,1,'Nunca paga',4.1,1,No,No
'Persona natural',1024.18,0,0,0,'Nunca paga',4.1,0,No,No
'Persona natural',1024.12,266.03,0,0,'Con retraso',0,1,Si,No
'Persona natural',1018.66,0,268.72,1,'Nunca paga',4,1,No,No
'Persona natural',1017.13,0,268.33,1,'Nunca paga',4,1,No,No
'Persona natural',1011.14,0,266.81,1,'Nunca paga',4,1,No,No
'Persona natural',1011.05,0,266.79,1,'Nunca paga',4,1,No,No
'Persona natural',1009.38,0,266.36,1,'Nunca paga',4,1,No,No
'Persona natural',1005.93,0,265.49,1,'Nunca paga',0,0,No,No
'Persona natural',1004.75,264.05,0,0,'Con retraso',0,1,Si,No
'Persona natural',1004.74,0,265.18,1,'Nunca paga',4,1,No,No
'Persona natural',999.59,0,263.87,1,'Nunca paga',4,1,No,No
'Persona natural',993.82,0,262.41,1,'Nunca paga',4,1,No,No
'Persona natural',993.63,258.41,0,0,'Con retraso',0,1,Si,No
'Persona natural',993.42,0,262.31,1,'Nunca paga',4,1,No,No
'Persona natural',993.27,0,262.27,1,'Nunca paga',4,1,No,No
'Persona natural',992.82,258.21,0,0,'Con retraso',0,1,Si,No
'Persona natural',991.59,0,261.84,1,'Nunca paga',0,1,No,No
'Persona natural',986.73,0,260.61,1,'Nunca paga',3.9,1,No,No
'Persona natural',986.16,0,260.46,1,'Nunca paga',3.9,1,No,No
'Persona natural',984.03,0,259.92,1,'Nunca paga',3.9,1,No,No
'Persona natural',979.16,0,258.68,1,'Nunca paga',0,1,No,No
'Persona natural',966.61,0,255.5,1,'Nunca paga',0,0,No,No
'Persona natural',964.61,0,254.99,1,'Nunca paga',3.8,1,No,No
'Persona natural',963.12,0,254.61,1,'Nunca paga',3.8,1,No,No
'Persona natural',961.08,0,254.09,1,'Nunca paga',3.8,1,No,No
'Persona natural',956.98,0,253.05,1,'Nunca paga',3.8,1,No,No
'Persona natural',954.76,0,0,0,'Nunca paga',3.8,0,No,No
'Persona natural',949.36,0,251.11,1,'Nunca paga',3.8,1,No,No
'Persona natural',947.93,0,250.76,1,'Nunca paga',3.8,1,No,No
'Persona natural',944.85,0,249.98,1,'Nunca paga',3.8,1,No,No
'Persona natural',943.72,0,249.68,1,'Nunca paga',3.8,1,No,No
'Persona natural',940.66,245.17,0,0,'Con retraso',0,1,Si,No
'Persona natural',940.42,0,0,0,'Nunca paga',0,0,No,No
'Persona natural',940.31,0,248.82,1,'Nunca paga',3.7,1,No,No
'Persona natural',938.63,0,248.39,1,'Nunca paga',3.7,1,No,No
'Persona natural',938.57,0,248.38,1,'Nunca paga',0,1,No,No
'Persona natural',937.29,0,248.06,1,'Nunca paga',0,1,No,No
'Persona natural',936.71,0,247.9,1,'Nunca paga',0,1,No,No
'Persona natural',935.49,0,0,0,'Nunca paga',3.7,0,No,No
'Persona natural',934.49,0,247.34,1,'Nunca paga',3.7,1,No,No
'Persona natural',932.21,0,246.77,1,'Nunca paga',3.7,1,No,No
'Persona natural',930.66,0,246.37,1,'Nunca paga',3.7,1,No,No
'Persona natural',919.47,0,243.52,1,'Nunca paga',0,1,No,No
'Persona natural',918.92,0,243.38,1,'Nunca paga',3.6,1,No,No
'Persona natural',916.06,0,242.66,1,'Nunca paga',0,0,No,No
'Persona natural',913.42,0,241.99,1,'Nunca paga',3.6,1,No,No
'Persona natural',913.34,0,241.97,1,'Nunca paga',3.6,1,No,No
'Persona natural',910.34,0,241.21,1,'Nunca paga',3.6,1,No,No
'Persona natural',902.89,235.73,0,0,'Con retraso',0,1,Si,No
'Persona juridica',900.27,0,238.65,1,'Nunca paga',0,0,No,No
'Persona natural',890.68,0,236.21,1,'Nunca paga',3.5,1,No,No
'Persona natural',889.66,0,235.96,1,'Nunca paga',0,1,No,No
'Persona natural',889.56,0,235.93,1,'Nunca paga',0,0,No,No
'Persona natural',887.81,0,235.49,1,'Nunca paga',3.5,1,No,No
'Persona natural',883.36,0,234.35,1,'Nunca paga',3.5,1,No,No
'Persona natural',882.93,0,234.25,1,'Nunca paga',3.5,1,No,No
