tipo_contribuyente,monto_impuesto,monto_pagado,deuda_acumulada,anios_moroso,frecuencia_pago,meses_retraso_promedio,num_notificaciones,respondio_notificacion,fraccionamiento,ultimo_pago,nivel_riesgo
Persona natural,99.5,99.5,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,158.32,158.32,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,171.62,171.62,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,146.98,146.98,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,264.03,264.03,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,164.92,164.92,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,149.0,149.0,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,203.97,203.97,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,119.59,119.59,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,258.46,258.46,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,105.66,105.66,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,297.25,0.0,1160.62,4,Nunca paga,20.4,3,No,No,2024,Alto
Persona natural,252.17,252.17,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona juridica,329.32,329.32,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,91.16,91.16,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,261.25,261.25,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,238.44,0.0,892.67,2,Nunca paga,11.6,3,No,No,2024,Alto
Persona natural,243.09,243.09,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,251.97,0.0,431.32,2,Con retraso,1.6,2,Si,No,2024,Medio
Persona natural,105.55,105.55,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,165.28,165.28,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,114.33,114.33,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,271.25,271.25,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,220.89,0.0,301.57,2,Con retraso,3.5,2,Si,No,2024,Medio
Persona natural,159.49,159.49,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,103.35,0.0,360.39,4,Con retraso,3.8,2,Si,No,2024,Alto
Persona natural,155.31,155.31,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,158.29,158.29,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,243.22,243.22,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,223.89,223.89,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,276.31,276.31,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,189.17,0.0,498.25,1,Con retraso,2.9,3,Si,Si,2024,Medio
Persona natural,115.11,115.11,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,239.78,239.78,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,249.76,249.76,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,207.87,207.87,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,251.9,0.0,400.86,3,Con retraso,5.9,1,No,Si,2024,Alto
Persona natural,193.7,0.0,385.87,2,Con retraso,3.6,3,No,No,2024,Medio
Persona natural,199.77,199.77,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,179.78,179.78,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,95.34,0.0,202.85,5,Con retraso,5.0,2,No,Si,2024,Alto
Persona natural,112.66,0.0,314.74,5,Con retraso,4.2,2,No,Si,2024,Alto
Persona natural,96.6,0.0,361.31,3,Con retraso,4.4,2,Si,Si,2024,Alto
Persona natural,223.65,223.65,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,156.01,156.01,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,196.8,196.8,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,280.59,280.59,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,142.35,142.35,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,176.18,176.18,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,248.67,0.0,615.95,1,Con retraso,2.0,2,Si,Si,2024,Alto
Persona natural,138.05,138.05,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,106.17,106.17,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,150.85,150.85,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,123.86,123.86,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,285.24,285.24,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,259.71,0.0,581.89,2,Con retraso,5.8,3,Si,Si,2024,Alto
Persona natural,223.01,223.01,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,273.01,273.01,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,258.77,258.77,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,129.18,129.18,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,277.44,277.44,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,203.26,203.26,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,259.56,259.56,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,278.18,278.18,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,156.78,0.0,499.77,3,Con retraso,1.7,3,Si,Si,2024,Alto
Persona natural,113.11,113.11,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,137.87,137.87,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,179.69,179.69,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,261.78,0.0,592.03,5,Con retraso,3.2,2,Si,Si,2024,Alto
Persona natural,270.75,270.75,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,91.46,91.46,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,197.26,197.26,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,177.66,0.0,490.74,5,Con retraso,1.2,1,Si,No,2024,Alto
Persona natural,136.64,136.64,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,115.17,0.0,347.92,1,Con retraso,1.4,2,Si,No,2024,Medio
Persona natural,160.9,0.0,472.27,4,Con retraso,3.1,2,No,Si,2024,Alto
Persona natural,288.01,288.01,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,157.87,0.0,477.59,2,Con retraso,5.6,3,Si,No,2024,Medio
Persona natural,198.95,198.95,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,237.63,237.63,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,166.36,166.36,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,294.07,294.07,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,292.11,292.11,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,142.87,142.87,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,194.42,194.42,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,153.18,153.18,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,149.82,149.82,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,97.75,97.75,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,218.01,218.01,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,195.56,195.56,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,100.81,0.0,234.42,5,Con retraso,2.8,3,Si,No,2024,Alto
Persona natural,148.52,148.52,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,280.74,280.74,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,140.31,140.31,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,120.43,120.43,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,192.79,192.79,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,296.99,296.99,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,140.83,140.83,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,231.15,0.0,700.3,3,Con retraso,4.4,2,Si,No,2024,Alto
Persona natural,249.94,249.94,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,139.9,139.9,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,242.93,242.93,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,167.23,167.23,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,222.78,0.0,641.41,1,Con retraso,1.2,2,Si,Si,2024,Alto
Persona natural,223.04,223.04,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,202.51,0.0,404.44,2,Con retraso,4.5,3,Si,Si,2024,Medio
Persona natural,108.96,108.96,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,265.41,265.41,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,157.36,0.0,234.13,3,Con retraso,1.2,2,Si,No,2024,Alto
Persona natural,129.17,129.17,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,98.56,98.56,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,214.09,214.09,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,232.29,232.29,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,93.48,93.48,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,197.54,0.0,652.1,2,Con retraso,1.4,3,No,Si,2024,Alto
Persona natural,137.56,0.0,173.12,5,Con retraso,3.5,3,No,No,2024,Alto
Persona natural,225.49,225.49,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,126.62,126.62,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,235.1,235.1,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,171.21,0.0,255.32,3,Con retraso,1.1,2,Si,No,2024,Alto
Persona natural,286.71,286.71,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,118.88,118.88,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,161.62,0.0,352.65,3,Con retraso,3.7,2,Si,No,2024,Alto
Persona natural,113.83,113.83,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,284.19,284.19,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,274.24,0.0,378.52,1,Con retraso,3.4,1,No,No,2024,Medio
Persona natural,144.17,144.17,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,228.6,228.6,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,261.62,0.0,734.69,1,Con retraso,2.4,3,Si,Si,2024,Alto
Persona natural,206.59,206.59,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona juridica,503.07,503.07,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,140.79,140.79,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,109.55,109.55,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,278.42,278.42,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,279.09,279.09,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,222.95,222.95,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,161.2,161.2,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,163.33,163.33,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,242.45,0.0,924.99,4,Nunca paga,17.4,2,Si,No,2024,Alto
Persona natural,278.39,278.39,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,276.29,276.29,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,253.77,253.77,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,224.83,224.83,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,107.67,0.0,331.99,1,Con retraso,2.0,2,No,No,2024,Medio
Persona natural,123.94,123.94,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,278.7,278.7,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,217.35,217.35,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,91.93,91.93,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,111.31,111.31,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,229.34,229.34,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,91.06,91.06,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,123.77,123.77,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,205.23,205.23,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,235.3,235.3,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,226.91,226.91,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,137.1,0.0,471.13,5,Con retraso,1.9,2,No,Si,2024,Alto
Persona natural,239.56,239.56,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,139.82,139.82,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,158.33,0.0,331.95,4,Con retraso,2.6,2,Si,No,2024,Alto
Persona natural,246.76,246.76,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,226.42,226.42,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,268.34,0.0,462.44,4,Con retraso,4.6,1,Si,Si,2024,Alto
Persona natural,228.1,228.1,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,209.34,209.34,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,109.67,0.0,260.62,4,Con retraso,3.4,3,No,No,2024,Alto
Persona natural,167.22,167.22,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,145.69,145.69,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,141.24,141.24,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,294.33,294.33,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,172.55,172.55,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,277.33,0.0,568.45,3,Con retraso,4.6,3,No,Si,2024,Alto
Persona natural,222.54,222.54,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,256.91,0.0,904.95,4,Nunca paga,13.6,5,No,No,2024,Alto
Persona natural,195.55,195.55,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,211.15,0.0,461.21,5,Con retraso,3.3,2,Si,No,2024,Alto
Persona natural,193.43,0.0,582.0,4,Con retraso,4.4,3,No,Si,2024,Alto
Persona natural,131.0,131.0,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,241.71,0.0,309.54,1,Con retraso,2.4,1,Si,No,2024,Medio
Persona natural,148.96,0.0,310.25,4,Con retraso,5.4,2,No,Si,2024,Alto
Persona natural,95.11,95.11,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,225.55,225.55,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,127.19,127.19,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,287.5,287.5,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,290.33,0.0,1139.29,1,Nunca paga,22.7,4,No,No,2024,Alto
Persona natural,282.12,0.0,936.21,1,Nunca paga,21.9,4,No,No,2024,Alto
Persona natural,167.73,167.73,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,93.25,93.25,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,284.95,0.0,886.74,2,Nunca paga,14.9,4,No,Si,2024,Alto
Persona natural,179.92,0.0,282.45,4,Con retraso,1.2,3,No,No,2024,Alto
Persona natural,293.0,0.0,467.11,1,Con retraso,3.9,3,Si,Si,2024,Medio
Persona natural,292.36,292.36,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,269.13,0.0,982.47,2,Nunca paga,16.1,4,No,No,2024,Alto
Persona natural,151.83,151.83,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,170.87,170.87,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,268.74,268.74,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,156.55,156.55,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,125.59,0.0,195.92,2,Con retraso,3.4,3,No,Si,2024,Medio
Persona natural,206.93,206.93,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,286.59,286.59,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,236.17,236.17,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,209.71,0.0,570.14,1,Con retraso,3.9,2,No,No,2024,Alto
Persona natural,110.41,110.41,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,219.15,219.15,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,297.91,297.91,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,119.42,119.42,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,198.85,198.85,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,274.25,274.25,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,245.56,0.0,330.12,3,Con retraso,1.2,1,No,No,2024,Alto
Persona natural,236.37,0.0,336.88,3,Con retraso,4.1,3,Si,No,2024,Alto
Persona natural,237.52,237.52,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,165.49,165.49,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,151.65,151.65,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,259.97,259.97,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,260.12,260.12,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,272.09,272.09,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,281.78,281.78,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,197.38,197.38,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,195.32,195.32,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,257.64,257.64,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,226.49,0.0,272.88,3,Con retraso,3.9,3,Si,No,2024,Alto
Persona natural,237.41,237.41,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,257.12,257.12,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,276.9,276.9,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,160.98,0.0,422.95,5,Con retraso,3.3,3,No,No,2024,Alto
Persona natural,168.87,168.87,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,109.74,0.0,161.06,4,Con retraso,1.2,3,Si,No,2024,Alto
Persona natural,211.44,211.44,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,97.55,97.55,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,187.78,187.78,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,203.96,203.96,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,150.17,150.17,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,214.07,214.07,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,96.41,96.41,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,97.84,0.0,196.58,4,Con retraso,2.4,1,Si,Si,2024,Alto
Persona natural,262.75,262.75,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,165.64,165.64,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,116.68,116.68,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,199.67,0.0,332.56,3,Con retraso,2.8,1,Si,No,2024,Alto
Persona natural,251.7,251.7,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,135.32,0.0,298.08,1,Con retraso,4.5,2,Si,No,2024,Medio
Persona natural,220.81,220.81,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,107.92,107.92,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,100.85,100.85,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,201.58,201.58,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,203.53,203.53,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,223.86,223.86,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,242.48,242.48,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,294.93,294.93,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,198.42,198.42,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,157.82,157.82,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,256.99,256.99,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,146.87,146.87,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,182.18,182.18,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,106.48,106.48,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,95.32,95.32,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,292.16,292.16,0.0,0,Puntual,0.0,0,No,No,2025,Bajo
Persona natural,265.56,0.0,958.03,1,Nunca paga,10.4,4,Si,No,2024,Alto
Persona natural,236.15,0.0,404.12,3,Con retraso,2.1,1,Si,No,2024,Alto
Persona natural,175.88,175.88,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
Persona natural,126.39,126.39,0.0,0,Puntual,0.0,0,No,No,2024,Bajo
